Symbol,dividendRate,beta,52WeekChange,shortName,longName,forwardEps,bookValue,priceToBook,shortRatio
MHK,,1.572531,,"Mohawk Industries, Inc.","Mohawk Industries, Inc.",14.52,121.83,1.7008126,2.21
MKC,1.36,0.467181,,"McCormick & Company, Incorporat","McCormick & Company, Incorporated",3.16,15.539,5.830491,3.62
MKTX,2.64,0.400441,,"MarketAxess Holdings, Inc.",MarketAxess Holdings Inc.,9.18,26.016,17.52729,2.39
MLM,2.28,0.644236,,"Martin Marietta Materials, Inc.","Martin Marietta Materials, Inc.",13.03,94.554,3.834211,0.89
MMC,1.86,0.879757,,"Marsh & McLennan Companies, Inc","Marsh & McLennan Companies, Inc.",6.1,18.543,7.3440113,2.69
MMM,5.92,0.963044,,3M Company,3M Company,10.59,23.737,8.504024,4.2
MNST,,1.090457,,Monster Beverage Corporation,Monster Beverage Corporation,3.04,9.773,9.414715,2.58
MO,3.44,0.679536,,"Altria Group, Inc.","Altria Group, Inc.",4.85,1.573,31.786396,1.17
MOS,0.2,1.845559,,Mosaic Company (The),The Mosaic Company,2.38,25.348,1.398927,1.14
MPC,2.32,2.173193,,Marathon Petroleum Corporation,Marathon Petroleum Corporation,2.88,34.1,1.7475075,5.75
MPWR,2.4,0.914506,,"Monolithic Power Systems, Inc.","Monolithic Power Systems, Inc.",6.87,21.353,15.194118,1.58
MRK,2.6,0.432432,,"Merck & Company, Inc.","Merck & Co., Inc.",7.25,10.006,7.9132524,1.61
MRO,0.16,3.239933,,Marathon Oil Corporation,Marathon Oil Corporation,0.36,13.379,0.86703044,1.16
MS,1.4,1.556536,,Morgan Stanley,Morgan Stanley,6.93,52.709,1.6759945,0.95
MSCI,3.12,0.923331,,MSCI Inc,MSCI Inc.,10.73,-5.843,,2.51
MSFT,2.24,0.794263,,Microsoft Corporation,Microsoft Corporation,8.35,17.853,13.732705,2.11
MSI,2.84,0.787644,,"Motorola Solutions, Inc.","Motorola Solutions, Inc.",9.56,-3.294,,2.92
MTB,4.4,1.19305,,M&T Bank Corporation,M&T Bank Corporation,11.79,118.116,1.3753428,3.83
MTD,,0.987865,,"Mettler-Toledo International, I",Mettler-Toledo International Inc.,32.96,12.043,105.977745,3.54
MU,,1.247058,,"Micron Technology, Inc.","Micron Technology, Inc.",10.7,36.274,2.2252855,1.09
MXIM,,1.223938,,"Maxim Integrated Products, Inc.","Maxim Integrated Products, Inc.",3.47,8.008,12.343905,6.67
NCLH,,2.876999,,Norwegian Cruise Line Holdings ,Norwegian Cruise Line Holdings Ltd.,0.53,13.795,2.080464,2.07
NDAQ,2.16,0.846662,,"Nasdaq, Inc.","Nasdaq, Inc.",7.15,38.446,4.262342,3.05
NEE,1.54,0.167677,,"NextEra Energy, Inc.","NextEra Energy, Inc.",2.72,19.056,3.9063814,3.07
NEM,2.2,0.257032,,Newmont Corporation,Newmont Corporation,3.92,28.873,2.54667,1.09
NFLX,,0.794815,,"Netflix, Inc.","Netflix, Inc.",12.98,29.059,17.133762,2.88
NI,0.88,0.290678,,NiSource Inc,NiSource Inc.,1.4,12.437,2.0439012,1.7
NKE,1.1,0.876999,,"Nike, Inc.","NIKE, Inc.",3.94,7.551,17.568535,1.47
NLOK,0.5,1.087148,,NortonLifeLock Inc.,NortonLifeLock Inc.,,,,3.91
NLSN,0.24,1.4738,,Nielsen N.V.,Nielsen Holdings plc,1.7,5.735,4.734089,6.37
NOC,5.8,0.809156,,Northrop Grumman Corporation,Northrop Grumman Corporation,25.5,65.389,5.6654787,3.22
NOV,,2.297297,,NOV Inc.,NOV Inc.,0.19,13.006,1.2432724,3.51
NOW,,0.938775,,"ServiceNow, Inc.","ServiceNow, Inc.",7.08,15.381,30.522724,2
NRG,1.3,0.84942,,"NRG Energy, Inc.","NRG Energy, Inc.",5.81,6.879,4.916412,2.51
NSC,3.96,1.301709,,Norfolk Southern Corporation,Norfolk Southern Corporation,13.23,58.516,4.739558,2.93
NTAP,1.92,1.297297,,"NetApp, Inc.","NetApp, Inc.",4.51,2.146,36.472507,5.68
NTRS,2.8,1.096525,,Northern Trust Corporation,Northern Trust Corporation,7.34,50.797,2.3599818,2.57
NUE,1.62,1.430777,,Nucor Corporation,Nucor Corporation,4.84,38.254,2.669786,1.05
NVDA,0.64,1.37562,,NVIDIA Corporation,NVIDIA Corporation,15.36,27.247,22.008661,1.15
NVR,,1.012686,,"NVR, Inc.","NVR, Inc.",365.08,837.042,5.5615134,1.81
NWL,0.92,0.96525,,Newell Brands Inc.,Newell Brands Inc.,1.9,9.017,3.138516,3.32
NWS,0.2,1.605626,,News Corporation,News Corporation,,13.765,1.8343625,1.91
NWSA,0.2,1.605626,,News Corporation,News Corporation,0.64,13.765,1.924446,1.93
NXPI,2.25,1.479316,,NXP Semiconductors N.V.,NXP Semiconductors N.V.,10.65,30.111,6.636777,0.79
O,2.82,0.716492,,Realty Income Corporation,Realty Income Corporation,1.52,30.882,2.1559484,4.17
ODFL,0.8,1.027027,,"Old Dominion Freight Line, Inc.","Old Dominion Freight Line, Inc.",8.8,27.399,9.596701,2.78
OKE,3.74,1.970215,,"ONEOK, Inc.","ONEOK, Inc.",3.37,13.685,3.8918521,2.14
OMC,2.8,0.920573,,Omnicom Group Inc.,Omnicom Group Inc.,6.41,14.93,5.551909,4.97
ORCL,1.28,0.773303,,Oracle Corporation,Oracle Corporation,4.8,3.074,25.709175,2.21
ORLY,,1.076116,,"O'Reilly Automotive, Inc.","O'Reilly Automotive, Inc.",27.2,-0.1,,2.33
OTIS,0.96,,,Otis Worldwide Corporation,Otis Worldwide Corporation,,,,3.13
OXY,0.04,2.527854,,Occidental Petroleum Corporatio,Occidental Petroleum Corporation,-1.05,9.459,2.655672,1.27
PAYC,,1.400992,,"Paycom Software, Inc.","Paycom Software, Inc.",5.46,11.355,29.083223,3.9
PAYX,2.64,0.911748,,"Paychex, Inc.","Paychex, Inc.",3.21,8.261,12.195861,2.87
PBCT,0.73,1.231108,,People's,"People's United Financial, Inc.",1.31,17.424,1.0927457,2.04
